event,latency
user_msg_5_1,0.10450640000635758
user_msg_5_2,0.10292120004305616
user_msg_5_3,0.10136530001182109
user_msg_5_4,0.09985360002610832
user_msg_5_5,0.09823450003750622
user_msg_5_6,0.09652779996395111
user_msg_5_7,0.09498200000962242
user_msg_5_8,0.0934959999867715
user_msg_5_9,0.09225129999686033
user_msg_6_0,0.10649679997004569
user_msg_6_1,0.1048575000022538
user_msg_6_2,0.10324570001102984
user_msg_6_3,0.10172439995221794
user_msg_6_4,0.10010079998755828
user_msg_6_5,0.09849750000284985
user_msg_6_6,0.0968711000168696
user_msg_6_7,0.09534119995078072
user_msg_6_8,0.09385219996329397
user_msg_6_9,0.09257520001847297
user_msg_7_0,0.1067680999985896
user_msg_7_1,0.1051615999895148
user_msg_7_2,0.10355010000057518
user_msg_7_3,0.10203700000420213
user_msg_7_4,0.10041169996839017
user_msg_7_5,0.09877179999602959
user_msg_7_6,0.09717730002012104
user_msg_7_7,0.0956609999993816
user_msg_7_8,0.09416450001299381
user_msg_7_9,0.09289099997840822
memory_current,memory_peak
2750629,2783235
user_msg_0_0,0.018519000033847988
user_msg_0_1,0.03675700002349913
user_msg_0_2,0.045297800039406866
user_msg_0_3,0.05102410004474223
user_msg_0_4,0.05922160000773147
user_msg_0_5,0.06679860001895577
user_msg_0_6,0.07485679996898398
user_msg_0_7,0.08116210001753643
user_msg_0_8,0.08816759998444468
user_msg_0_9,0.09434959996724501
user_msg_1_0,0.10887070000171661
user_msg_1_1,0.10696620005182922
user_msg_1_2,0.10540989995934069
user_msg_1_3,0.10368870000820607
user_msg_1_4,0.1021883999928832
user_msg_1_5,0.10051050002221018
user_msg_1_6,0.09899339999537915
